epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.111,1.42257,6.96771,3.20738,1.59973,0.01041,0.84911,0.25338,0.12318,0.00068,0.05831,0.00452,0.00089,1.2971,6.96213,3.38052,1.57878,0.000275,0.000275,0.000275
2,350.023,1.38803,4.7362,2.70893,1.56476,0.71609,0.24248,0.35077,0.22149,0.55434,0.17516,0.2021,0.06006,1.38857,4.89305,2.6586,1.57212,0.000543937,0.000543937,0.000543937
3,496.352,1.4501,4.55745,2.28016,1.61773,0.39101,0.39253,0.33934,0.18742,0.30382,0.27577,0.17606,0.04318,1.60042,5.21509,2.43801,1.89244,0.0007939,0.0007939,0.0007939
4,639.34,1.47849,4.39182,2.01553,1.62757,0.38066,0.54313,0.40107,0.23706,0.13267,0.05098,0.04022,0.00567,1.471,5.51355,2.2196,1.72151,0.00102489,0.00102489,0.00102489
5,786.168,1.49773,4.39406,1.96257,1.63304,0.41454,0.57714,0.48218,0.25277,0.27527,0.14799,0.13274,0.03267,1.78584,4.97443,2.42196,1.98792,0.001085,0.001085,0.001085
6,932.904,1.51212,4.40534,1.9416,1.63259,0.50218,0.63355,0.56793,0.32421,0.444,0.39711,0.35264,0.10327,1.45283,4.65736,2.57582,1.73552,0.00104375,0.00104375,0.00104375
7,1079.23,1.41767,4.29903,1.73733,1.57909,0.62525,0.6084,0.65724,0.36051,0.47503,0.44771,0.4116,0.08091,1.43939,5.13652,2.26468,1.73032,0.0010025,0.0010025,0.0010025
8,1220.98,1.40753,4.24064,1.66174,1.57091,0.77811,0.58444,0.6867,0.416,0.57952,0.4115,0.40498,0.10207,1.50426,4.84191,1.65754,1.73645,0.00096125,0.00096125,0.00096125
9,1361.95,1.39746,4.27803,1.64171,1.54907,0.69273,0.60425,0.69033,0.43405,0.55068,0.48171,0.48732,0.16607,1.39587,5.00923,1.60532,1.66317,0.00092,0.00092,0.00092
10,1506.69,1.33615,4.10157,1.4983,1.51506,0.75119,0.58545,0.70545,0.42987,0.61518,0.50871,0.49124,0.16454,1.39255,4.28232,1.52483,1.61136,0.00087875,0.00087875,0.00087875
11,1655.1,1.3751,4.1372,1.54569,1.52233,0.71828,0.60762,0.71405,0.44679,0.66006,0.40314,0.44282,0.16308,1.36084,4.45985,1.44915,1.56186,0.0008375,0.0008375,0.0008375
12,1802.95,1.33,4.00807,1.46274,1.45528,0.72723,0.67563,0.718,0.46258,0.54289,0.48263,0.43034,0.14916,1.32695,4.5759,1.45244,1.55168,0.00079625,0.00079625,0.00079625
13,1950.01,1.29283,4.09915,1.4985,1.45784,0.75404,0.70052,0.73235,0.47008,0.59049,0.46839,0.48456,0.18336,1.32079,4.18671,1.50388,1.52619,0.000755,0.000755,0.000755
14,2091.37,1.3021,4.06595,1.50227,1.45935,0.79967,0.67978,0.74206,0.44914,0.61358,0.48147,0.50538,0.2081,1.41459,4.17273,1.51713,1.59045,0.00071375,0.00071375,0.00071375
15,2235.4,1.27198,3.91018,1.44124,1.45547,0.73035,0.76111,0.75658,0.48355,0.47451,0.32558,0.32183,0.09135,1.26785,4.72255,1.44704,1.50585,0.0006725,0.0006725,0.0006725
16,2386.29,1.18935,3.89492,1.31591,1.39393,0.76571,0.66713,0.78243,0.51265,0.64453,0.39585,0.41026,0.09596,1.24163,4.62718,1.48692,1.48453,0.00063125,0.00063125,0.00063125
17,2569.82,1.19007,3.95507,1.33494,1.38501,0.83641,0.68203,0.80127,0.51295,0.67054,0.45962,0.45583,0.13251,1.28887,4.4674,1.26988,1.51252,0.00059,0.00059,0.00059
18,2725.93,1.14514,3.95743,1.30895,1.36633,0.77881,0.7465,0.79879,0.5195,0.55446,0.52134,0.48061,0.14465,1.2224,4.28859,1.28205,1.47536,0.00054875,0.00054875,0.00054875
19,2876.46,1.16938,3.91512,1.37138,1.38453,0.84384,0.69981,0.79722,0.51753,0.60433,0.53429,0.52134,0.17292,1.23844,4.2974,1.31337,1.46507,0.0005075,0.0005075,0.0005075
20,3018.74,1.11586,3.86921,1.27217,1.33058,0.6857,0.68595,0.72863,0.4831,0.57506,0.457,0.44797,0.13896,1.24191,4.55129,1.40954,1.48337,0.00046625,0.00046625,0.00046625
21,3157.08,1.0717,3.94069,1.49563,1.35738,0.68259,0.6624,0.73587,0.45034,0.61635,0.49302,0.47685,0.15979,1.28613,4.35568,1.41568,1.53588,0.000425,0.000425,0.000425
22,3292.66,0.97547,3.83213,1.33548,1.26241,0.79431,0.65523,0.76322,0.4702,0.62299,0.53367,0.54386,0.19645,1.30201,4.07105,1.36983,1.53555,0.00038375,0.00038375,0.00038375
23,3428.89,0.98538,3.82885,1.2804,1.24764,0.80923,0.68879,0.81779,0.52819,0.7612,0.47274,0.55742,0.1601,1.24616,4.15853,1.29468,1.47773,0.0003425,0.0003425,0.0003425
24,3572.81,0.93596,3.71552,1.19649,1.25794,0.83219,0.68674,0.81073,0.53295,0.71282,0.49697,0.52163,0.14362,1.18142,4.27979,1.26003,1.41028,0.00030125,0.00030125,0.00030125
25,3723.12,0.9123,3.65849,1.11828,1.2349,0.85144,0.68674,0.81785,0.55029,0.74186,0.55023,0.58768,0.16696,1.18195,4.42427,1.23047,1.39579,0.00026,0.00026,0.00026
26,3867.74,0.89949,3.56909,1.10451,1.20987,0.8781,0.6683,0.82146,0.52654,0.74579,0.55141,0.57638,0.1989,1.2126,4.21434,1.22625,1.4157,0.00021875,0.00021875,0.00021875
27,4008.64,0.89632,3.605,1.14002,1.22057,0.8596,0.67389,0.8196,0.53646,0.7219,0.532,0.56038,0.18715,1.18987,4.0899,1.23013,1.39214,0.0001775,0.0001775,0.0001775
28,4148.12,0.87124,3.55158,1.09653,1.19227,0.77816,0.75257,0.82533,0.54432,0.67979,0.51769,0.52908,0.17826,1.16996,4.0886,1.19683,1.38671,0.00013625,0.00013625,0.00013625
29,4285.73,0.87413,3.55551,1.10425,1.21256,0.81136,0.76065,0.83964,0.55433,0.6822,0.51232,0.53498,0.16981,1.15823,4.14496,1.19108,1.38247,9.5e-05,9.5e-05,9.5e-05
